PERFIL_ELEITORADO,CONSULTA_CAND_2010,CONSULTA_CAND_2012,CONSULTA_CAND_2014,BEM_CANDIDATO,CONSULTA_LEGENDAS,CONSULTA_VAGAS,VOTACAO_CANDIDATO_MUN_ZONA_2012,VOTACAO_CANDIDATO_MUN_ZONA_2014,VOTACAO_PARTIDO_MUN_ZONA_2012,VOTACAO_PARTIDO_MUN_ZONA_2014,VOTO_SECAO,DETALHE_VOTACAO_MUN_ZONA_2012,DETALHE_VOTACAO_MUN_ZONA_2014
,NOME_PARTIDO,SIGLA_LEGENDA,NOME_PARTIDO,,,,DESC_SIT_CANDIDATO,DESC_SIT_CANDIDATO,QTDE_VOTOS_LEGENDA,QTDE_VOTOS_LEGENDA,,QTD_VOTOS_NOMINAIS,QTD_VOTOS_NOMINAIS
,CODIGO_LEGENDA,COMPOSICAO_LEGENDA,CODIGO_LEGENDA,,,,CODIGO_SIT_CAND_TOT,CODIGO_SIT_CAND_TOT,,TRANSITO ,,QTD_VOTOS_BRANCOS,QTD_VOTOS_BRANCOS
,SIGLA_LEGENDA,NOME_LEGENDA,SIGLA_LEGENDA,,,,DESC_SIT_CAND_TOT,DESC_SIT_CAND_TOT,,,,QTD_VOTOS_NULOS,QTD_VOTOS_NULOS
,COMPOSICAO_LEGENDA,CODIGO_OCUPACAO,COMPOSICAO_LEGENDA,,,,NUMERO_PARTIDO,NUMERO_PARTIDO,,,,QTD_VOTOS_LEGENDA,QTD_VOTOS_LEGENDA
,NOME_LEGENDA,DESCRICAO_OCUPACAO,NOME_LEGENDA,,,,SIGLA_PARTIDO,SIGLA_PARTIDO,,,,QTD_VOTOS_ANULADOS_APU_SEP,QTD_VOTOS_ANULADOS_APU_SEP 
,CODIGO_OCUPACAO,DATA_NASCIMENTO,CODIGO_OCUPACAO,,,,NOME_PARTIDO,NOME_PARTIDO,,,,DATA_ULT_TOTALIZACAO,DATA_ULT_TOTALIZACAO 
,DESCRICAO_OCUPACAO,NUM_TITULO_ELEITORAL_CANDIDATO,DESCRICAO_OCUPACAO,,,,SEQUENCIAL_LEGENDA,SEQUENCIAL_LEGENDA,,,,,HORA_ULT_TOTALIZACAO 
,DATA_NASCIMENTO,IDADE_DATA_ELEICAO,DATA_NASCIMENTO,,,,NOME_COLIGACAO,NOME_COLIGACAO,,,,,TRANSITO 
,NUM_TITULO_ELEITORAL_CANDIDATO,CODIGO_SEXO,NUM_TITULO_ELEITORAL_CANDIDATO,,,,COMPOSICAO_LEGENDA,COMPOSICAO_LEGENDA,,,,,
,IDADE_DATA_ELEICAO ,DESCRICAO_SEXO,IDADE_DATA_ELEICAO,,,,TOTAL_VOTOS,TOTAL_VOTOS,,,,,
,CODIGO_SEXO ,COD_GRAU_INSTRUCAO,CODIGO_SEXO,,,,,TRANSITO,,,,,
,DESCRICAO_SEXO,DESCRICAO_GRAU_INSTRUCAO,DESCRICAO_SEXO,,,,,,,,,,
,COD_GRAU_INSTRUCAO,CODIGO_ESTADO_CIVIL,COD_GRAU_INSTRUCAO,,,,,,,,,,
,DESCRICAO_GRAU_INSTRUCAO,DESCRICAO_ESTADO_CIVIL,DESCRICAO_GRAU_INSTRUCAO,,,,,,,,,,
,CODIGO_ESTADO_CIVIL,CODIGO_NACIONALIDADE,CODIGO_ESTADO_CIVIL,,,,,,,,,,
,DESCRICAO_ESTADO_CIVIL,DESCRICAO_NACIONALIDADE,DESCRICAO_ESTADO_CIVIL,,,,,,,,,,
,CODIGO_NACIONALIDADE,SIGLA_UF_NASCIMENTO,CODIGO_COR_RACA,,,,,,,,,,
,DESCRICAO_NACIONALIDADE,CODIGO_MUNICIPIO_NASCIMENTO,DESCRICAO_COR_RACA,,,,,,,,,,
,SIGLA_UF_NASCIMENTO,NOME_MUNICIPIO_NASCIMENTO,CODIGO_NACIONALIDADE,,,,,,,,,,
,CODIGO_MUNICIPIO_NASCIMENTO,DESPESA_MAX_CAMPANHA,DESCRICAO_NACIONALIDADE,,,,,,,,,,
,NOME_MUNICIPIO_NASCIMENTO,COD_SIT_TOT_TURNO,SIGLA_UF_NASCIMENTO,,,,,,,,,,
,DESPESA_MAX_CAMPANHA,DESC_SIT_TOT_TURNO ,CODIGO_MUNICIPIO_NASCIMENTO,,,,,,,,,,
,COD_SIT_TOT_TURNO,,NOME_MUNICIPIO_NASCIMENTO,,,,,,,,,,
,DESC_SIT_TOT_TURNO ,,DESPESA_MAX_CAMPANHA,,,,,,,,,,
,,,COD_SIT_TOT_TURNO,,,,,,,,,,
,,,DESC_SIT_TOT_TURNO,,,,,,,,,,
,,,NM_EMAIL ,,,,,,,,,,
